AR Name,Client Name,Project Name,Project Code,PAR,Invoice Amount,Amount (PHP),Currency,Sales Remarks,Finance Remarks,Status,AM,Amount Collected,Amount Collected (PHP),Balance (PHP),Year,Business Unit,Signed CE,Internal CE,Invoice Request,Invoice Number,SI Number,Invoice,Invoice Date,Collection Date,CE Collection Date,Invoice Aging (days),CE Aging,Collection Week
Add-Ons - PUBG Mobile 8th Anniversary Event Full Payment,Level Infinite,Add-Ons - PUBG Mobile 8th Anniversary Event,2026TEG-P0080,202603170065,6824.56,"388,999.92",USD,"May 13: USD invoice sent.
June 14: ETA of payment. Confirmed by Hee",,For Collection,Shanna Mae Alindada Sacsi,,,,2026,GG-Event Service,[ADD ONS] PUBG Mobile 8th Anniversary Event - [USD] Quote.pdf,https://docs.google.com/spreadsheets/d/1YsUVVq1imzd4Aa6itrwd5CHvLE5pXHONCg2sBvoKuKM/edit?usp=sharing,2.02605090003e+11,INV-0178,,Invoice INV-0178 _ SI#167.pdf,2026/05/12,2026/08/24,,104,0y 0m 0d late,35
Ragnarok V Phase 2 Full Payment,Alika Company Limited,Ragnarok V Phase 2,2025TEG-P0134,202505090028,500,"28,500.00",USD,No update from Jaseem,,For Collection,Shanna Mae Alindada Sacsi,,,,2025,PDEI-Game Marketing,CE_2025TEG-P0134 Ragnarok V_ Returns (PHASE 2) (1).pdf,https://docs.google.com/spreadsheets/d/1MH2_lfmDLND4jYgGup1reJtg5cY9rY8LbylIbzHLPiI/edit?usp=sharing,2.0250901008e+11,INV-1487,,Invoice INV-1487_Ragnarok V Phase 2.pdf,2025/09/02,2026/08/31,2025/08/19,363,1y 0m 12d late,36
The Ragnarok Phase 8 Full Payment,Alika Company Limited,The Ragnarok Phase 8,2025TEG-P0136,202505090030,2200,"125,400.00",USD,No update from Jaseem,,For Collection,Shanna Mae Alindada Sacsi,,,,2025,PDEI-Game Marketing,CE_2025TEG-P0136 The Ragnarok Phase 8 (1).pdf,https://docs.google.com/spreadsheets/d/1AcqoXkyfwrOxribeUf28DM78gK7Op5SBPcAAFBOdnCQ/edit?usp=sharing,2.02509010078e+11,INV-1488,,Invoice INV-1488_Ragnarok Phase 8.pdf,2025/09/02,2026/08/31,2025/08/19,363,1y 0m 12d late,36
The Ragnarok Phase 9 Full Payment,Alika Company Limited,The Ragnarok Phase 9,2025TEG-P0161,202506040161,1700,"96,900.00",USD,No update from Jaseem,,For Collection,Shanna Mae Alindada Sacsi,,,,2025,PDEI-Game Marketing,CE_ 2025TEG-P0161 Ragnarok Phase 9.pdf,https://docs.google.com/spreadsheets/d/10WQ5NY7DO4FZMxxOLb0unlR-58gifxaFBlgpwKnIthI/edit?usp=sharing,2.02509020063e+11,INV-1489,,Invoice INV-1489_Ragnarok Phase 9.pdf,2025/09/02,2026/08/31,2025/08/19,363,1y 0m 12d late,36
Minotaur x Jollibee GameJoy Launch Full Payment,Minotaur Advertising Inc,Minotaur x Jollibee GameJoy Launch,2025TEG-P0091,202504080039,2.14559897e+06,"2,145,598.97",PHP,To nudge Jamie for this,,For Collection,Shanna Mae Alindada Sacsi,,,,2025,PDEI-Game Marketing,CE_2025TEG-P0091_Jollibee GameJoy Launch_SIGNED.pdf,https://docs.google.com/spreadsheets/d/1Jf_HS5mI9_KQ2TLZgYeXGQJWuC3Tw1NnrO1-6my7dsg/edit?usp=sharing,2.02510270099e+11,INV-1520,,INV-1520.pdf,2025/10/30,2026/12/31,2025/10/31,427,1y 2m 0d late,53
Globe x GG truck: Project Kristine On Wheels (KOW) Full Payment,Globe Telecom Inc,Globe x GG Truck: Win the Fam 2025,2025TEG-P0287,202511050059,783936,"783,936.00",PHP,"May 6: DP Collected
May 20: Further updates on project completion TBC by client. Possible July execution",,For Collection,Shanna Mae Alindada Sacsi,,,,2026,PDEI-Event Service,Globe Project KOW x GGTruck CE - 2025TEG-P0287 (signed).pdf,https://docs.google.com/spreadsheets/d/1yy69F7lEsh3ie8yXJ9qI3OL1hlqsUxsEWT4Wj954UU4/edit?usp=sharing,2.02511170016e+11,INV-1540,475,"Invoice INV-1540.pdf,Invoice 475.pdf",2025/11/18,2026/06/30,2025/12/12,224,0y 6m 18d late,27
MCGG Rising Stars Season 4 x Elgin Full Payment,Mineski TH,MCGG Rising Stars Season 4 x Elgin,2025TEG-P0350,202601050029,1330.47,"75,836.79",USD,Bumped ID June 2,,For Collection,"Carlos Roberto Francisco, David, IV Coscolluela",,,,2026,PDEI-Game Marketing,2025TEG_P350_CE_MCGG_Rising_Stars_Season_4_x_Elgin_Quotation_6.pdf,https://docs.google.com/spreadsheets/d/1xyfsSvrsXkGVsvXPNZKjkPKoypU5qlzvC5RP0seZr9I/edit?usp=sharing,2.02602190067e+11,INV-1581,519,Invoice INV-1581 __ SI No. 519.pdf,2026/03/04,2026/06/30,2026/03/02,118,0y 3m 28d late,27
Jobstreet LevelUp Tournament Season 2 Full Payment,Jobstreet,Jobstreet LevelUp Tournament Season 2,2025TEG-P0211,202511040070,303971.09,"303,971.09",PHP,Payment processing (processing time 30 days) as of May 20,,For Collection,"Carlos Roberto Francisco, David, IV Coscolluela",,,,2026,PDEI-Event Service,SIGNED --- For SignatureJSPH x Pillar Ecommerce Digital Inc. (MINESKI GLOBAL)_Q3.pdf,https://docs.google.com/spreadsheets/d/1itX5WTsUFhP-Z9i0duFDWI7yWhLEFizPNArNWUEbU9Y/edit?usp=sharing,2.02603250083e+11,INV-1602,537,INV-1602 SI NO. 537 revised.pdf,2026/03/27,2026/07/31,2026/03/27,126,0y 4m 4d late,31
Jobstreet LevelUp Tournament Addendum,Jobstreet,Jobstreet LevelUp Tournament Addendum,2025TEG-P0341,202601300013,103040,"103,040.00",PHP,Payment processing as of May 20,,For Collection,"Carlos Roberto Francisco, David, IV Coscolluela",,,,2026,PDEI-Event Service,SIGNED --- For Signature JSPH x Pillar Ecommerce Digital Inc. (MINESKI GLOBAL)_ .pdf,https://docs.google.com/spreadsheets/d/1itX5WTsUFhP-Z9i0duFDWI7yWhLEFizPNArNWUEbU9Y/edit?usp=sharing,2.02603250085e+11,INV-1609,543,INV-1609 SI NO 543.pdf,2026/04/13,2026/07/31,2026/03/06,109,0y 4m 25d late,31
SportsPlus Roadtrip Watch Party Full Payment,Infinitech Digital Gaming Corporation,SportsPlus Roadtrip Watch Party,2026TEG-P0028,202603240070,1.8013485e+06,"1,801,348.50",PHP,June 1: Securing NEW Signed CE that reflects 12% VAT. For Full collection ,,For Collection,Alvaro Miguel Dela Vega Santos,,,,2026,PDEI-Game Marketing,EXT_SportsPlus_x_MPBL_Activation_and_Festival_2026_03_12_SIGNED.pdf,https://docs.google.com/spreadsheets/d/1g3jOxcQqC_t-qgNsOBSWKM2nk1bsQbFgTTamvuoI1v4/edit?usp=sharing,2.02604130012e+11,INV-1609,544,INV-1609 SI NO. 544.pdf,2026/04/14,2026/06/07,2026/06/07,54,0y 0m 0d late,24
